green hot pepper	located	shelf
red onion	located	fridge
red onion	located	shelf
chopping board	located	kitchen cupboard
chopping board	located	counter
lettuce	located	fridge
handsoap	located	sink
wet striped pullover	located	clothesline
wet striped pullover	located	clothes drier
dirty white t-shirt	located	washing machine
dirty white t-shirt	located	laundry basket
dirty azure skirt	located	washing machine
dirty azure skirt	located	laundry basket
clean frying pan	located	kitchen cupboard
clean hawaiian shirt	located	wardrobe
fleece jacket	located	wardrobe
fleece jacket	located	coat hanger
black golf shoes	located	shoe cabinet
clean blue t-shirt	located	wardrobe
brown suit	located	wardrobe
wet hawaiian shirt	located	clothesline
wet hawaiian shirt	located	clothes drier
used tissue	located	pedal bin
used tissue	located	trash can
used tissue	located	wastepaper basket
striped tie	located	wardrobe
striped tie	located	chest of drawers
gray golf shoes	located	shoe cabinet
table lamp	located	end table
table lamp	located	side table
table lamp	located	nightstand
dirty colander	located	dishwasher
toothbrush	located	bathroom cabinet
wet orange dress	located	clothesline
wet orange dress	located	clothes drier
wet gray socks	located	clothesline
wet gray socks	located	clothes drier
wet purple dress	located	clothesline
wet purple dress	located	clothes drier
brown duvet	located	chest of drawers
brown duvet	located	wardrobe
brown duvet	located	bed
wet gray underpants	located	clothesline
wet gray underpants	located	clothes drier
long coat	located	wardrobe
long coat	located	coat hanger
dirty striped polo shirt	located	washing machine
dirty striped polo shirt	located	laundry basket
kitchen shears	located	cutlery drawer
dirty purple skirt	located	washing machine
dirty purple skirt	located	laundry basket
apron	located	kitchen cupboard
clean saucepan	located	kitchen cupboard
clean pie plate	located	kitchen cupboard
wet gray pullover	located	clothesline
wet gray pullover	located	clothes drier
red bell pepper	located	fridge
wet checkered t-shirt	located	clothesline
wet checkered t-shirt	located	clothes drier
dirty glass	located	dishwasher
clean black panties	located	chest of drawers
dirty sleeveless shirt	located	washing machine
dirty sleeveless shirt	located	laundry basket
clean black bra	located	chest of drawers
clean black bra	located	wardrobe
black belt	located	wardrobe
black belt	located	chest of drawers
pork chop	located	fridge
dirty knife	located	dishwasher
uniform	located	wardrobe
dirty green t-shirt	located	washing machine
dirty green t-shirt	located	laundry basket
black blanket	located	chest of drawers
black blanket	located	wardrobe
black blanket	located	bed
clean azure dress	located	wardrobe
gray duvet	located	chest of drawers
gray duvet	located	wardrobe
gray duvet	located	bed
lipstick	located	dressing table
knee high boots	located	shoe cabinet
wet striped t-shirt	located	clothesline
wet striped t-shirt	located	clothes drier
black tie	located	wardrobe
black tie	located	chest of drawers
clean tank top	located	wardrobe
plaid blanket	located	chest of drawers
plaid blanket	located	wardrobe
plaid blanket	located	bed
slippers	located	shoe cabinet
dirty dress pants	located	washing machine
dirty dress pants	located	laundry basket
dirty roasting tray	located	dishwasher
cleanser	located	bathroom cabinet
dirty brown bra	located	washing machine
dirty brown bra	located	laundry basket
chicken leg	located	fridge
rotten yellow potato	located	trash can
rotten yellow potato	located	pedal bin
hiking boots	located	shoe cabinet
clean gray polo shirt	located	wardrobe
wet gray bra	located	clothesline
wet gray bra	located	clothes drier
clean hoodie	located	wardrobe
spice container	located	kitchen cupboard
spice container	located	shelf
newspaper	located	end table
newspaper	located	side table
dirty teal t-shirt	located	washing machine
dirty teal t-shirt	located	laundry basket
clean orange dress	located	wardrobe
platform heels	located	shoe cabinet
dirty blue dress	located	washing machine
dirty blue dress	located	laundry basket
dirty pot	located	dishwasher
striped duvet	located	chest of drawers
striped duvet	located	wardrobe
striped duvet	located	bed
wet plaid blazer	located	clothesline
wet plaid blazer	located	clothes drier
carrot	located	fridge
work boots	located	shoe cabinet
clean purple dress	located	wardrobe
gray cap	located	hat rack
clean orange skirt	located	wardrobe
dirty gym clothes	located	washing machine
dirty gym clothes	located	laundry basket
clean whisk	located	cutlery drawer
clean mesh skimmer	located	cutlery drawer
black cap	located	hat rack
clean white socks	located	chest of drawers
clean checkered t-shirt	located	wardrobe
makeup kit	located	dressing table
blue bed sheet	located	chest of drawers
blue bed sheet	located	wardrobe
blue bed sheet	located	bed
dirty bowl	located	dishwasher
brown blanket	located	chest of drawers
brown blanket	located	wardrobe
brown blanket	located	bed
lip gloss	located	dressing table
dirty frying pan	located	dishwasher
clean gray skirt	located	wardrobe
black suit	located	wardrobe
gray blanket	located	chest of drawers
gray blanket	located	wardrobe
gray blanket	located	bed
clean checkered jumper	located	wardrobe
dirty pie plate	located	dishwasher
clean blue shirt	located	wardrobe
wet white bra	located	clothesline
wet white bra	located	clothes drier
clean white t-shirt	located	wardrobe
striped bed sheet	located	chest of drawers
striped bed sheet	located	wardrobe
striped bed sheet	located	bed
green bell pepper	located	fridge
clean black underpants	located	chest of drawers
face cream	located	dressing table
face cream	located	bathroom cabinet
wet gray blazer	located	clothesline
wet gray blazer	located	clothes drier
clean jeans	located	wardrobe
wet black t-shirt	located	clothesline
wet black t-shirt	located	clothes drier
blender	located	kitchen cupboard
blender	located	counter
dirty red dress	located	washing machine
dirty red dress	located	laundry basket
wet striped blazer	located	clothesline
wet striped blazer	located	clothes drier
clean spatula	located	cutlery drawer
gray suit	located	wardrobe
clean checkered polo shirt	located	wardrobe
dirty brown socks	located	washing machine
dirty brown socks	located	laundry basket
dirty long-sleeve top	located	washing machine
dirty long-sleeve top	located	laundry basket
clean checkered socks	located	chest of drawers
clean red skirt	located	wardrobe
clean brown bra	located	chest of drawers
clean brown bra	located	wardrobe
striped blanket	located	chest of drawers
striped blanket	located	wardrobe
striped blanket	located	bed
white duvet	located	chest of drawers
white duvet	located	wardrobe
white duvet	located	bed
clean salad spinner	located	kitchen cupboard
blue business shoes	located	shoe cabinet
clean plaid socks	located	chest of drawers
shaving cream	located	bathroom cabinet
wet cardigan	located	clothesline
wet cardigan	located	clothes drier
wet red t-shirt	located	clothesline
wet red t-shirt	located	clothes drier
lamp	located	nightstand
clean white dress	located	wardrobe
running shoes	located	shoe cabinet
plaid duvet	located	chest of drawers
plaid duvet	located	wardrobe
plaid duvet	located	bed
toilet paper	located	toilet roll holder
dirty gray shirt	located	washing machine
dirty gray shirt	located	laundry basket
hair dryer	located	bathroom cabinet
clean brown jumper	located	wardrobe
blue golf shoes	located	shoe cabinet
clean black skirt	located	wardrobe
wet black dress	located	clothesline
wet black dress	located	clothes drier
white sneakers	located	shoe cabinet
brown bed sheet	located	chest of drawers
brown bed sheet	located	wardrobe
brown bed sheet	located	bed
white business shoes	located	shoe cabinet
clean green t-shirt	located	wardrobe
wet blue t-shirt	located	clothesline
wet blue t-shirt	located	clothes drier
wet checkered jumper	located	clothesline
wet checkered jumper	located	clothes drier
dirty singlet	located	washing machine
dirty singlet	located	laundry basket
clean white blazer	located	wardrobe
white cap	located	hat rack
white tie	located	wardrobe
white tie	located	chest of drawers
black duvet	located	chest of drawers
black duvet	located	wardrobe
black duvet	located	bed
wet brown jumper	located	clothesline
wet brown jumper	located	clothes drier
dirty mug	located	dishwasher
wet gray dress	located	clothesline
wet gray dress	located	clothes drier
dirty red skirt	located	washing machine
dirty red skirt	located	laundry basket
dirty cake slicer	located	dishwasher
clean mug	located	kitchen cupboard
wet white socks	located	clothesline
wet white socks	located	clothes drier
olive oil	located	shelf
olive oil	located	kitchen cupboard
clean blue bra	located	chest of drawers
clean blue bra	located	wardrobe
blue coat	located	coat hanger
blue coat	located	wardrobe
plastic plate	located	kitchen cupboard
clean magenta skirt	located	wardrobe
vegetable oil	located	shelf
vegetable oil	located	kitchen cupboard
clean purple skirt	located	wardrobe
dirty strainer	located	dishwasher
eyeliner	located	dressing table
dirty brown t-shirt	located	washing machine
dirty brown t-shirt	located	laundry basket
dirty brown dress	located	washing machine
dirty brown dress	located	laundry basket
dirty white blazer	located	washing machine
dirty white blazer	located	laundry basket
dirty white polo shirt	located	washing machine
dirty white polo shirt	located	laundry basket
black bed sheet	located	chest of drawers
black bed sheet	located	wardrobe
black bed sheet	located	bed
white pillow	located	bed
rolling pin	located	cutlery drawer
rolling pin	located	kitchen cupboard
wet shorts	located	clothesline
wet shorts	located	clothes drier
clean yellow dress	located	wardrobe
clean white bra	located	chest of drawers
clean white bra	located	wardrobe
wet blue pullover	located	clothesline
wet blue pullover	located	clothes drier
red hot pepper	located	shelf
wet white skirt	located	clothesline
wet white skirt	located	clothes drier
gray tie	located	wardrobe
gray tie	located	chest of drawers
clean white panties	located	chest of drawers
clean jacket	located	wardrobe
clean red t-shirt	located	wardrobe
blue moccasins	located	shoe cabinet
clean plaid pullover	located	wardrobe
clean gray bra	located	chest of drawers
clean gray bra	located	wardrobe
clean green dress	located	wardrobe
clean cake slicer	located	cutlery drawer
beanie	located	hat rack
beanie	located	chest of drawers
cushion	located	sofa
cushion	located	armchair
dirty yellow t-shirt	located	washing machine
dirty yellow t-shirt	located	laundry basket
flour	located	shelf
flour	located	kitchen cupboard
bottle of cold water	located	fridge
bread basket	located	kitchen cupboard
rotten red tuna	located	trash can
rotten red tuna	located	pedal bin
clean sleeveless shirt	located	wardrobe
gray belt	located	wardrobe
gray belt	located	chest of drawers
clean brown socks	located	chest of drawers
wet white underpants	located	clothesline
wet white underpants	located	clothes drier
kettle	located	kitchen cupboard
kettle	located	counter
white gloves	located	chest of drawers
gray pillow	located	bed
blue duvet	located	chest of drawers
blue duvet	located	wardrobe
blue duvet	located	bed
dirty pan	located	dishwasher
clean striped blazer	located	wardrobe
clean singlet	located	wardrobe
dirty mesh skimmer	located	dishwasher
wet striped shirt	located	clothesline
wet striped shirt	located	clothes drier
alarm clock	located	nightstand
dirty spatula	located	dishwasher
dirty teal dress	located	washing machine
dirty teal dress	located	laundry basket
wet azure t-shirt	located	clothesline
wet azure t-shirt	located	clothes drier
dirty salad spinner	located	dishwasher
wet striped socks	located	clothesline
wet striped socks	located	clothes drier
dirty azure dress	located	washing machine
dirty azure dress	located	laundry basket
picture	located	end table
picture	located	side table
picture	located	desk
grater	located	kitchen cupboard
checkered duvet	located	chest of drawers
checkered duvet	located	wardrobe
checkered duvet	located	bed
clean azure skirt	located	wardrobe
clean dress pants	located	wardrobe
black pillow	located	bed
clean gray jumper	located	wardrobe
clean black blazer	located	wardrobe
dirty checkered pullover	located	washing machine
dirty checkered pullover	located	laundry basket
dirty black polo shirt	located	washing machine
dirty black polo shirt	located	laundry basket
clean cargo pants	located	wardrobe
clean ladle	located	cutlery drawer
lip liner	located	dressing table
clean maroon skirt	located	wardrobe
brown golf shoes	located	shoe cabinet
brush	located	bathroom cabinet
copybook	located	end table
copybook	located	side table
copybook	located	desk
clean striped polo shirt	located	wardrobe
razor	located	bathroom cabinet
wet yellow dress	located	clothesline
wet yellow dress	located	clothes drier
blue gloves	located	chest of drawers
potato peeler	located	cutlery drawer
potato peeler	located	kitchen cupboard
wet plaid pullover	located	clothesline
wet plaid pullover	located	clothes drier
dirty purple t-shirt	located	washing machine
dirty purple t-shirt	located	laundry basket
dirty whisk	located	dishwasher
clean black t-shirt	located	wardrobe
dictionary	located	bookcase
clean blue blazer	located	wardrobe
wet plaid jumper	located	clothesline
wet plaid jumper	located	clothes drier
wet blue polo shirt	located	clothesline
wet blue polo shirt	located	clothes drier
dirty sheath dress	located	washing machine
dirty sheath dress	located	laundry basket
clean brown skirt	located	wardrobe
clean long-sleeve top	located	wardrobe
white onion	located	fridge
white onion	located	shelf
wet white pullover	located	clothesline
wet white pullover	located	clothes drier
wet gray panties	located	clothesline
wet gray panties	located	clothes drier
wet gray knickers	located	clothesline
wet gray knickers	located	clothes drier
wet gray skirt	located	clothesline
wet gray skirt	located	clothes drier
gray bed sheet	located	chest of drawers
gray bed sheet	located	wardrobe
gray bed sheet	located	bed
clean shorts	located	wardrobe
block of cheese	located	fridge
clean white shirt	located	wardrobe
orange bell pepper	located	fridge
gray coat	located	coat hanger
gray coat	located	wardrobe
wet black socks	located	clothesline
wet black socks	located	clothes drier
wet cargo pants	located	clothesline
wet cargo pants	located	clothes drier
dirty spoon	located	dishwasher
clean striped pullover	located	wardrobe
clean gray blazer	located	wardrobe
wet black blazer	located	clothesline
wet black blazer	located	clothes drier
dirty jeans	located	washing machine
dirty jeans	located	laundry basket
wooden spoon	located	cutlery drawer
plaid suit	located	wardrobe
clean teal dress	located	wardrobe
clean black dress	located	wardrobe
laundry detergent	located	suspended shelf
trench coat	located	wardrobe
trench coat	located	coat hanger
brown pillow	located	bed
clean striped shirt	located	wardrobe
key	located	key holder
wet sweater	located	clothesline
wet sweater	located	clothes drier
gray sneakers	located	shoe cabinet
dirty cleaver	located	dishwasher
dirty white dress	located	washing machine
dirty white dress	located	laundry basket
clean fork	located	cutlery drawer
clean pot	located	kitchen cupboard
white tuna	located	fridge
brown business shoes	located	shoe cabinet
wastepaper	located	wastepaper basket
wastepaper	located	trash can
wastepaper	located	pedal bin
clean blue pullover	located	wardrobe
rotten banana	located	trash can
rotten banana	located	pedal bin
dirty brown shirt	located	washing machine
dirty brown shirt	located	laundry basket
dirty black shirt	located	washing machine
dirty black shirt	located	laundry basket
roller skates	located	shoe cabinet
clean plaid t-shirt	located	wardrobe
wet maroon skirt	located	clothesline
wet maroon skirt	located	clothes drier
brown tie	located	wardrobe
brown tie	located	chest of drawers
checkered tie	located	wardrobe
checkered tie	located	chest of drawers
gray business shoes	located	shoe cabinet
clean strainer	located	cutlery drawer
mixer	located	kitchen cupboard
mixer	located	counter
black pepper	located	shelf
black pepper	located	kitchen cupboard
white moccasins	located	shoe cabinet
brown sneakers	located	shoe cabinet
wet blue socks	located	clothesline
wet blue socks	located	clothes drier
umbrella	located	umbrella stand
black sneakers	located	shoe cabinet
blue suit	located	wardrobe
vest	located	wardrobe
gray moccasins	located	shoe cabinet
wet striped jumper	located	clothesline
wet striped jumper	located	clothes drier
dirty black skirt	located	washing machine
dirty black skirt	located	laundry basket
clean black polo shirt	located	wardrobe
checkered blanket	located	chest of drawers
checkered blanket	located	wardrobe
checkered blanket	located	bed
wet black underpants	located	clothesline
wet black underpants	located	clothes drier
dirty blue blazer	located	washing machine
dirty blue blazer	located	laundry basket
dirty plaid socks	located	washing machine
dirty plaid socks	located	laundry basket
mouthwash	located	bathroom cabinet
dirty black knickers	located	washing machine
dirty black knickers	located	laundry basket
top hat	located	hat rack
dirty brown skirt	located	washing machine
dirty brown skirt	located	laundry basket
clean pressure cooker	located	kitchen cupboard
clean yellow skirt	located	wardrobe
dirty fork	located	dishwasher
clean knife	located	cutlery drawer
blue pillow	located	bed
dirty plaid t-shirt	located	washing machine
dirty plaid t-shirt	located	laundry basket
clean azure t-shirt	located	wardrobe
white bed sheet	located	chest of drawers
white bed sheet	located	wardrobe
white bed sheet	located	bed
clean yellow t-shirt	located	wardrobe
wet plaid polo shirt	located	clothesline
wet plaid polo shirt	located	clothes drier
high-heeled shoes	located	shoe cabinet
towel	located	towel rail
wet jacket	located	clothesline
wet jacket	located	clothes drier
dirty blue shirt	located	washing machine
dirty blue shirt	located	laundry basket
clean black socks	located	chest of drawers
wet gray polo shirt	located	clothesline
wet gray polo shirt	located	clothes drier
gray gloves	located	chest of drawers
clean teal skirt	located	wardrobe
clean spoon	located	cutlery drawer
clean cardigan	located	wardrobe
blue sneakers	located	shoe cabinet
wet black jumper	located	clothesline
wet black jumper	located	clothes drier
clean gray dress	located	wardrobe
white belt	located	wardrobe
white belt	located	chest of drawers
climbing shoes	located	shoe cabinet
dirty brown pullover	located	washing machine
dirty brown pullover	located	laundry basket
dirty brown blazer	located	washing machine
dirty brown blazer	located	laundry basket
clean blue skirt	located	wardrobe
yellow bell pepper	located	fridge
clean colander	located	kitchen cupboard
dirty blue jumper	located	washing machine
dirty blue jumper	located	laundry basket
comb	located	bathroom cabinet
wet maroon t-shirt	located	clothesline
wet maroon t-shirt	located	clothes drier
scarf	located	chest of drawers
scarf	located	coat hanger
straw hat	located	hat rack
dirty white shirt	located	washing machine
dirty white shirt	located	laundry basket
clean teal t-shirt	located	wardrobe
blue tie	located	wardrobe
blue tie	located	chest of drawers
clean maroon t-shirt	located	wardrobe
soccer shoes	located	shoe cabinet
dirty black pullover	located	washing machine
dirty black pullover	located	laundry basket
clean pan	located	kitchen cupboard
wet blue skirt	located	clothesline
wet blue skirt	located	clothes drier
striped suit	located	wardrobe
clean black shirt	located	wardrobe
clean checkered blazer	located	wardrobe
clean brown t-shirt	located	wardrobe
plaid tie	located	wardrobe
plaid tie	located	chest of drawers
wet black panties	located	clothesline
wet black panties	located	clothes drier
can opener	located	cutlery drawer
can opener	located	kitchen cupboard
wet checkered socks	located	clothesline
wet checkered socks	located	clothes drier
brown belt	located	wardrobe
brown belt	located	chest of drawers
beret	located	hat rack
clean bowl	located	kitchen cupboard
clean white knickers	located	chest of drawers
brown moccasins	located	shoe cabinet
clean magenta t-shirt	located	wardrobe
clean gym clothes	located	wardrobe
clean plaid blazer	located	wardrobe
yellow onion	located	fridge
yellow onion	located	shelf
blue belt	located	wardrobe
blue belt	located	chest of drawers
clean maroon dress	located	wardrobe
wet blue bra	located	clothesline
wet blue bra	located	clothes drier
rotten green apple	located	trash can
rotten green apple	located	pedal bin
clean striped t-shirt	located	wardrobe
black coat	located	coat hanger
black coat	located	wardrobe
rotten yellow apple	located	trash can
rotten yellow apple	located	pedal bin
dirty hoodie	located	washing machine
dirty hoodie	located	laundry basket
dirty checkered blazer	located	washing machine
dirty checkered blazer	located	laundry basket
clean white polo shirt	located	wardrobe
tv remote control	located	tv stand
clean purple t-shirt	located	wardrobe
eggs	located	fridge
eggs	located	shelf
clean cup	located	kitchen cupboard
derby hat	located	hat rack
clean plaid jumper	located	wardrobe
wet magenta dress	located	clothesline
wet magenta dress	located	clothes drier
blue cap	located	hat rack
flip flops	located	shoe cabinet
wet maroon dress	located	clothesline
wet maroon dress	located	clothes drier
dirty saucepan	located	dishwasher
wet gray jumper	located	clothesline
wet gray jumper	located	clothes drier
used q-tip	located	pedal bin
used q-tip	located	trash can
used q-tip	located	wastepaper basket
wet checkered polo shirt	located	clothesline
wet checkered polo shirt	located	clothes drier
white golf shoes	located	shoe cabinet
magazine	located	end table
magazine	located	side table
used plastic cup	located	trash can
used plastic cup	located	pedal bin
used plastic cup	located	wastepaper basket
clean brown dress	located	wardrobe
nail polish	located	dressing table
nail polish	located	bathroom cabinet
dirty cup	located	dishwasher
dirty plate	located	dishwasher
sugar	located	shelf
sugar	located	kitchen cupboard
clean green skirt	located	wardrobe
dirty tank top	located	washing machine
dirty tank top	located	laundry basket
clean white underpants	located	chest of drawers
clean gray shirt	located	wardrobe
toaster	located	counter
checkered suit	located	wardrobe
dirty brown polo shirt	located	washing machine
dirty brown polo shirt	located	laundry basket
dirty magenta t-shirt	located	washing machine
dirty magenta t-shirt	located	laundry basket
salt	located	shelf
salt	located	kitchen cupboard
corkscrew	located	kitchen cupboard
corkscrew	located	cutlery drawer
wet green skirt	located	clothesline
wet green skirt	located	clothes drier
dirty black bra	located	washing machine
dirty black bra	located	laundry basket
oven glove	located	kitchen cupboard
tomato	located	fridge
clean plaid shirt	located	wardrobe
brown cap	located	hat rack
shampoo	located	bathroom cabinet
shampoo	located	shower
shampoo	located	bathtub
clean white jumper	located	wardrobe
checkered bed sheet	located	chest of drawers
checkered bed sheet	located	wardrobe
checkered bed sheet	located	bed
red apple	located	fridge
hair brush	located	bathroom cabinet
clean striped socks	located	chest of drawers
plaid bed sheet	located	chest of drawers
plaid bed sheet	located	wardrobe
plaid bed sheet	located	bed
clean gray panties	located	chest of drawers
dirty plaid shirt	located	washing machine
dirty plaid shirt	located	laundry basket
clean white pullover	located	wardrobe
peanut oil	located	shelf
peanut oil	located	kitchen cupboard
dirty white panties	located	washing machine
dirty white panties	located	laundry basket
box of q-tips	located	bathroom cabinet
white suit	located	wardrobe
pen	located	end table
pen	located	side table
pen	located	desk
clean gray underpants	located	chest of drawers
clean black pullover	located	wardrobe
dirty pressure cooker	located	dishwasher
electric razor	located	bathroom cabinet
clean plate	located	kitchen cupboard
clean red dress	located	wardrobe
brown gloves	located	chest of drawers
vase	located	side table
vase	located	end table
clean brown blazer	located	wardrobe
clean magenta dress	located	wardrobe
dirty orange t-shirt	located	washing machine
dirty orange t-shirt	located	laundry basket
wet orange skirt	located	clothesline
wet orange skirt	located	clothes drier
chicken breast	located	fridge
dirty checkered shirt	located	washing machine
dirty checkered shirt	located	laundry basket
white coat	located	coat hanger
white coat	located	wardrobe
clean blue jumper	located	wardrobe
clean cleaver	located	cutlery drawer
black business shoes	located	shoe cabinet
clean striped jumper	located	wardrobe
clean blue dress	located	wardrobe
clean gray socks	located	chest of drawers
clean glass	located	kitchen cupboard
bow tie	located	chest of drawers
bow tie	located	wardrobe
dirty ladle	located	dishwasher
clean brown pullover	located	wardrobe
brown coat	located	coat hanger
brown coat	located	wardrobe
clean gray pullover	located	wardrobe
wet white knickers	located	clothesline
wet white knickers	located	clothes drier
clean black jumper	located	wardrobe
clean roasting tray	located	kitchen cupboard
wet teal skirt	located	clothesline
wet teal skirt	located	clothes drier
dirty magenta skirt	located	washing machine
dirty magenta skirt	located	laundry basket
milk	located	fridge
clean blue socks	located	chest of drawers
black moccasins	located	shoe cabinet
white blanket	located	chest of drawers
white blanket	located	wardrobe
white blanket	located	bed
washing powder	located	suspended shelf
clean black knickers	located	chest of drawers
old book	located	bookcase
wet green dress	located	clothesline
wet green dress	located	clothes drier
bathrobe	located	wall hook
clean orange t-shirt	located	wardrobe
teapot	located	coffee table
teapot	located	kitchen cupboard
court shoes	located	shoe cabinet
notebook	located	end table
notebook	located	side table
notebook	located	desk
chicken wing	located	fridge
rotten red potato	located	trash can
rotten red potato	located	pedal bin
clean sweater	located	wardrobe
blue blanket	located	chest of drawers
blue blanket	located	wardrobe
blue blanket	located	bed
dirty gray t-shirt	located	washing machine
dirty gray t-shirt	located	laundry basket
clean white skirt	located	wardrobe
clean plaid polo shirt	located	wardrobe
clean checkered shirt	located	wardrobe
toothpaste	located	bathroom cabinet
clean blue polo shirt	located	wardrobe
raincoat	located	wardrobe
raincoat	located	coat hanger
clean gray knickers	located	chest of drawers
wet white jumper	located	clothesline
wet white jumper	located	clothes drier
black gloves	located	chest of drawers
clean brown polo shirt	located	wardrobe
clean brown shirt	located	wardrobe
dirty yellow skirt	located	washing machine
dirty yellow skirt	located	laundry basket
clean gray t-shirt	located	wardrobe
clean sheath dress	located	wardrobe
clean checkered pullover	located	wardrobe
 
